months_as_customer;age;policy_state;policy_csl;policy_deductable;policy_annual_premium;umbrella_limit;insured_sex;insured_education_level;insured_occupation;insured_hobbies;insured_relationship;capital-gains;capital-loss;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_available;total_claim_amount;injury_claim;property_claim;vehicle_claim;auto_make;auto_model;auto_year;fraud_reported
204;40;0.258;0.262;1000;1693.83;7000000.0;0.26;0.225;0.222;0.276;0.293;44000;-20800;0.29;0.276;0.107;0.209;0.221;0.221;6;1;0.24;1;0;0.255;53400;5340;5340.0;42720;0.255;0.15;12;0
64;28;0.227;0.216;1000;1468.82;0.0;0.26;0.261;0.204;0.224;0.293;56800;-51800;0.27;0.254;0.107;0.269;0.294;0.224;9;3;0.24;2;1;0.255;60000;5000;10000.0;45000;0.255;0.231;18;0
208;36;0.258;0.257;2000;1209.41;5000000.0;0.26;0.261;0.237;0.265;0.27;0;0;0.27;0.254;0.128;0.318;0.221;0.261;15;3;0.258;0;1;0.255;62810;11420;11420.0;39970;0.179;0.13;16;0
37;31;0.227;0.216;500;1969.63;0.0;0.234;0.264;0.276;0.224;0.21;0;0;0.27;0.254;0.128;0.269;0.179;0.234;21;3;0.24;1;1;0.229;76450;6950;13900.0;55600;0.25;0.325;20;0
255;43;0.254;0.216;500;984.02;0.0;0.234;0.261;0.291;0.29;0.24;75800;0;0.27;0.254;0.605;0.269;0.294;0.261;14;2;0.24;2;2;0.255;74700;7470;14940.0;52290;0.179;0.29;8;1
473;58;0.254;0.257;2000;1131.4;0.0;0.234;0.264;0.291;0.163;0.293;55700;0;0.27;0.254;0.605;0.318;0.179;0.248;12;4;0.258;0;0;0.255;63120;10520;10520.0;42080;0.19;0.222;16;1
239;39;0.254;0.262;2000;625.08;0.0;0.234;0.261;0.222;0.23;0.27;44200;-37000;0.29;0.276;0.605;0.269;0.294;0.224;10;1;0.24;2;3;0.229;87890;15980;7990.0;63920;0.277;0.437;1;1
239;41;0.258;0.262;1000;1325.44;7000000.0;0.234;0.261;0.302;0.228;0.293;51400;-6300;0.095;0.089;0.066;0.209;0.309;0.289;22;1;0.24;0;2;0.229;10790;1660;830.0;8300;0.338;0.259;2;0
270;45;0.258;0.216;500;1187.53;0.0;0.234;0.264;0.169;0.3;0.258;83200;-53300;0.27;0.254;0.128;0.318;0.227;0.261;23;3;0.24;0;0;0.229;54340;9880;0.0;44460;0.225;0.285;10;0
286;47;0.254;0.262;500;1386.93;0.0;0.26;0.225;0.169;0.161;0.205;54100;-77600;0.27;0.312;0.107;0.318;0.221;0.242;15;3;0.258;0;0;0.255;65800;13160;6580.0;46060;0.19;0.2;14;0
125;35;0.258;0.216;500;1054.83;7000000.0;0.26;0.261;0.282;0.74;0.205;0;-51300;0.29;0.276;0.128;0.269;0.221;0.234;17;1;0.258;2;3;0.255;88660;8060;16120.0;64480;0.338;0.38;8;1
144;37;0.258;0.262;2000;1896.91;0.0;0.234;0.264;0.204;0.195;0.258;73700;0;0.27;0.312;0.605;0.269;0.294;0.261;17;3;0.258;1;3;0.255;54400;5440;10880.0;38080;0.276;0.409;0;1
275;40;0.258;0.262;2000;1190.6;0.0;0.26;0.224;0.368;0.091;0.24;0;-45300;0.29;0.312;0.107;0.269;0.436;0.224;17;1;0.24;1;3;0.229;43230;7860;7860.0;27510;0.276;0.409;14;0
29;25;0.227;0.262;2000;1352.83;0.0;0.26;0.224;0.302;0.224;0.21;0;-71700;0.27;0.312;0.107;0.318;0.294;0.248;4;4;0.258;1;2;0.229;64890;7210;7210.0;50470;0.179;0.129;2;1
246;45;0.254;0.262;500;1594.37;0.0;0.26;0.234;0.368;0.29;0.21;0;0;0.095;0.089;0.066;0.066;0.294;0.224;13;1;0.24;0;3;0.229;7260;660;1320.0;5280;0.225;0.285;7;0
257;43;0.254;0.216;2000;929.7;6000000.0;0.234;0.264;0.204;0.265;0.205;46400;-74300;0.29;0.276;0.128;0.318;0.227;0.289;12;1;0.24;2;2;0.229;63240;10540;5270.0;47430;0.338;0.259;10;0
70;28;0.227;0.262;1000;1319.81;0.0;0.26;0.225;0.237;0.3;0.205;67200;-59400;0.27;0.254;0.107;0.209;0.179;0.289;14;4;0.24;1;0;0.229;31680;3520;3520.0;24640;0.186;0.143;9;0
80;26;0.227;0.257;1000;1343.0;0.0;0.26;0.224;0.204;0.091;0.293;64600;0;0.29;0.276;0.107;0.318;0.294;0.289;12;1;0.24;0;0;0.255;90400;9040;9040.0;72320;0.277;0.05;20;0
446;61;0.227;0.257;1000;1232.79;0.0;0.234;0.225;0.169;0.266;0.24;49900;-62100;0.29;0.312;0.107;0.318;0.227;0.242;3;1;0.258;2;0;0.229;70500;7050;14100.0;49350;0.238;0.285;8;0
5;26;0.227;0.262;2000;1137.02;0.0;0.234;0.264;0.302;0.224;0.258;31500;0;0.29;0.312;0.128;0.291;0.179;0.242;22;1;0.258;1;3;0.255;88110;16020;16020.0;56070;0.304;0.344;12;0
283;43;0.254;0.257;2000;1161.91;0.0;0.234;0.234;0.169;0.276;0.258;0;-50400;0.095;0.089;0.107;0.066;0.179;0.221;9;1;0.24;0;3;0.255;5850;1300;650.0;3900;0.277;0.33;9;0
53;36;0.258;0.216;2000;1712.68;0.0;0.26;0.234;0.204;0.176;0.258;72200;0;0.27;0.254;0.605;0.269;0.227;0.224;17;3;0.24;2;0;0.229;51100;10220;5110.0;35770;0.304;0.27;9;0
179;32;0.258;0.257;1000;1433.42;6000000.0;0.234;0.234;0.222;0.265;0.21;53800;0;0.29;0.312;0.605;0.209;0.309;0.289;4;1;0.258;1;2;0.255;54200;5420;10840.0;37940;0.179;0.13;1;1
250;43;0.258;0.216;1000;1243.84;0.0;0.234;0.261;0.282;0.276;0.21;47900;-73400;0.29;0.254;0.107;0.318;0.227;0.261;22;1;0.258;1;3;0.255;64900;12980;12980.0;38940;0.279;0.285;4;0
235;42;0.254;0.262;500;1072.62;0.0;0.234;0.224;0.237;0.193;0.205;39900;-60200;0.27;0.254;0.128;0.318;0.179;0.242;7;4;0.24;2;1;0.229;69100;6910;6910.0;55280;0.186;0.273;9;0
277;44;0.254;0.216;500;1412.31;0.0;0.26;0.225;0.169;0.29;0.24;0;0;0.085;0.089;0.066;0.209;0.309;0.224;6;1;0.24;1;3;0.255;5000;1000;500.0;3500;0.164;0.119;10;0
217;41;0.227;0.216;2000;875.15;0.0;0.234;0.234;0.237;0.224;0.21;46700;0;0.27;0.254;0.128;0.209;0.294;0.289;15;3;0.24;1;2;0.255;37840;0;4730.0;33110;0.19;0.083;19;0
279;45;0.254;0.262;2000;1333.97;6000000.0;0.234;0.264;0.169;0.161;0.24;61100;-30700;0.27;0.312;0.605;0.318;0.294;0.289;21;3;0.24;1;0;0.255;61050;11100;11100.0;38850;0.25;0.325;4;1
428;53;0.227;0.257;1000;1496.44;0.0;0.234;0.225;0.282;0.091;0.24;0;0;0.095;0.089;0.066;0.209;0.309;0.242;9;1;0.258;2;2;0.255;6930;630;1260.0;5040;0.255;0.15;2;0
254;45;0.227;0.262;500;1083.64;0.0;0.26;0.261;0.169;0.228;0.205;59800;0;0.27;0.312;0.128;0.209;0.309;0.261;19;3;0.258;0;0;0.255;79680;13280;13280.0;53120;0.277;0.05;11;0
429;56;0.258;0.262;1000;1127.89;6000000.0;0.26;0.234;0.237;0.224;0.21;67400;-43800;0.29;0.312;0.107;0.291;0.179;0.242;0;1;0.258;2;0;0.229;39480;6580;6580.0;26320;0.238;0.285;13;0
280;48;0.227;0.262;1000;1387.35;0.0;0.26;0.261;0.291;0.228;0.258;0;-72000;0.29;0.276;0.107;0.269;0.179;0.248;16;1;0.24;2;2;0.255;61320;10220;10220.0;40880;0.277;0.33;17;0
150;30;0.254;0.257;1000;1342.02;0.0;0.26;0.264;0.212;0.276;0.21;0;0;0.095;0.089;0.066;0.066;0.227;0.289;8;1;0.258;0;2;0.255;4500;450;450.0;3600;0.225;0.2;16;0
289;49;0.227;0.216;2000;1222.48;0.0;0.234;0.261;0.169;0.109;0.24;0;0;0.095;0.089;0.107;0.066;0.179;0.289;16;1;0.24;1;1;0.229;5330;1230;820.0;3280;0.238;0.156;14;0
30;31;0.227;0.262;2000;1153.35;0.0;0.26;0.264;0.297;0.109;0.258;0;0;0.085;0.089;0.066;0.209;0.221;0.248;9;1;0.24;2;1;0.229;5760;960;960.0;3840;0.238;0.3;4;0
162;33;0.258;0.262;500;964.92;0.0;0.234;0.234;0.368;0.265;0.293;45700;0;0.27;0.312;0.605;0.269;0.221;0.248;17;4;0.24;2;1;0.255;35300;3530;3530.0;28240;0.338;0.259;19;1
156;31;0.227;0.257;2000;1134.08;0.0;0.26;0.264;0.169;0.266;0.205;0;0;0.29;0.276;0.605;0.209;0.309;0.289;3;1;0.24;2;0;0.255;59000;5900;5900.0;47200;0.305;0.285;2;1
96;27;0.227;0.257;1000;1631.1;0.0;0.234;0.225;0.169;0.193;0.27;0;0;0.095;0.089;0.066;0.209;0.179;0.289;4;1;0.24;1;2;0.255;6030;670;670.0;4690;0.179;0.129;8;0
70;29;0.254;0.257;1000;1425.79;0.0;0.234;0.264;0.246;0.2;0.293;62400;-52300;0.29;0.276;0.107;0.291;0.309;0.224;12;1;0.24;0;3;0.255;69360;11560;11560.0;46240;0.25;0.325;6;0
222;41;0.258;0.257;2000;1055.53;0.0;0.234;0.264;0.246;0.74;0.258;37800;-50300;0.29;0.276;0.128;0.318;0.179;0.221;7;1;0.24;0;2;0.255;61290;6810;6810.0;47670;0.255;0.363;20;1
186;33;0.254;0.257;1000;1348.32;0.0;0.234;0.234;0.297;0.74;0.27;37600;-37600;0.085;0.089;0.066;0.209;0.221;0.289;3;1;0.24;2;1;0.255;4730;860;860.0;3010;0.276;0.1;2;1
422;60;0.254;0.257;1000;1555.52;0.0;0.234;0.264;0.237;0.23;0.21;43600;-67800;0.29;0.276;0.605;0.291;0.309;0.221;11;1;0.258;1;1;0.255;85250;15500;7750.0;62000;0.338;0.259;16;0
304;49;0.254;0.257;1000;1525.86;0.0;0.234;0.264;0.297;0.091;0.21;0;0;0.29;0.254;0.107;0.318;0.309;0.234;2;1;0.258;1;1;0.229;73370;13340;6670.0;53360;0.225;0.185;2;0
154;34;0.258;0.257;1000;1041.36;0.0;0.234;0.261;0.169;0.74;0.205;53100;-43900;0.27;0.254;0.128;0.318;0.179;0.248;18;4;0.24;2;3;0.229;74360;13520;13520.0;47320;0.186;0.273;10;1
276;46;0.227;0.262;500;1448.84;0.0;0.234;0.224;0.237;0.161;0.205;0;-50000;0.095;0.089;0.066;0.209;0.294;0.248;7;1;0.24;0;1;0.255;5940;660;660.0;4620;0.186;0.273;0;0
85;30;0.254;0.216;1000;1454.42;0.0;0.26;0.234;0.222;0.266;0.293;51600;-73900;0.29;0.254;0.605;0.318;0.221;0.242;19;1;0.258;0;1;0.229;74280;12380;12380.0;49520;0.238;0.285;9;1
101;33;0.227;0.216;1000;1313.64;0.0;0.234;0.262;0.169;0.29;0.24;12100;0;0.095;0.089;0.066;0.066;0.221;0.248;3;1;0.258;1;0;0.255;4290;780;390.0;3120;0.304;0.27;18;0
227;38;0.258;0.216;500;976.67;0.0;0.234;0.264;0.204;0.276;0.24;0;0;0.29;0.312;0.605;0.269;0.294;0.221;16;1;0.24;1;2;0.255;72200;14440;7220.0;50540;0.277;0.33;2;1
161;38;0.227;0.257;2000;1133.85;0.0;0.26;0.264;0.169;0.193;0.258;60200;0;0.27;0.276;0.128;0.209;0.179;0.242;0;3;0.258;2;2;0.229;60480;5040;15120.0;40320;0.279;0.285;12;0
380;53;0.227;0.262;2000;1166.62;6000000.0;0.26;0.234;0.169;0.161;0.27;0;0;0.095;0.089;0.066;0.209;0.309;0.234;23;1;0.24;0;3;0.255;5700;570;570.0;4560;0.225;0.2;14;0
451;61;0.254;0.262;2000;1618.65;2000000.0;0.234;0.234;0.291;0.276;0.24;0;-42600;0.27;0.312;0.605;0.291;0.436;0.261;3;3;0.258;2;1;0.229;78100;15620;7810.0;54670;0.276;0.375;18;1
366;50;0.254;0.216;1000;1561.41;0.0;0.234;0.225;0.204;0.176;0.205;21200;0;0.27;0.312;0.107;0.209;0.221;0.289;5;3;0.258;1;3;0.255;70290;12780;12780.0;44730;0.338;0.38;3;0
160;37;0.258;0.216;500;1374.22;0.0;0.234;0.264;0.297;0.3;0.293;45500;-37800;0.29;0.254;0.128;0.318;0.221;0.221;19;1;0.258;1;0;0.255;72930;6630;13260.0;53040;0.19;0.2;0;0
253;44;0.258;0.257;2000;719.52;0.0;0.234;0.225;0.302;0.109;0.21;45800;0;0.095;0.089;0.066;0.066;0.294;0.289;9;1;0.24;0;3;0.255;5400;600;600.0;4200;0.276;0.1;17;0
107;31;0.227;0.216;2000;1374.22;0.0;0.234;0.264;0.237;0.161;0.293;62000;-63100;0.29;0.312;0.107;0.209;0.294;0.248;16;1;0.24;0;3;0.255;51260;9320;9320.0;32620;0.238;0.156;13;0
407;55;0.258;0.257;1000;1250.08;5000000.0;0.234;0.264;0.282;0.161;0.27;0;-57700;0.27;0.254;0.128;0.209;0.179;0.289;0;3;0.24;2;3;0.229;68160;11360;11360.0;45440;0.305;0.25;5;0
101;27;0.227;0.216;500;982.7;6000000.0;0.234;0.262;0.291;0.2;0.24;30800;-43700;0.095;0.089;0.107;0.066;0.294;0.289;9;1;0.24;1;0;0.255;5170;940;470.0;3760;0.186;0.143;14;0
134;29;0.258;0.257;2000;1413.14;5000000.0;0.234;0.264;0.276;0.29;0.21;35100;0;0.27;0.312;0.107;0.209;0.221;0.261;7;3;0.24;2;3;0.255;34650;7700;3850.0;23100;0.25;0.325;8;0
343;52;0.227;0.216;1000;1053.02;0.0;0.234;0.234;0.212;0.161;0.258;0;0;0.29;0.276;0.605;0.318;0.221;0.289;2;1;0.24;0;2;0.255;47630;12990;4330.0;30310;0.186;0.15;10;1
273;47;0.258;0.216;1000;1189.04;0.0;0.234;0.234;0.212;0.2;0.21;59600;0;0.27;0.254;0.107;0.209;0.227;0.221;0;3;0.24;1;3;0.255;39800;7960;3980.0;27860;0.164;0.119;1;0
146;32;0.258;0.257;2000;1276.43;0.0;0.26;0.234;0.169;0.224;0.21;0;0;0.29;0.312;0.605;0.269;0.309;0.224;12;1;0.24;0;3;0.255;59940;6660;6660.0;46620;0.255;0.15;20;0
222;38;0.254;0.257;2000;1157.97;0.0;0.26;0.264;0.237;0.23;0.258;0;-64500;0.29;0.276;0.128;0.209;0.221;0.248;20;1;0.24;2;2;0.229;60480;6720;6720.0;47040;0.19;0.2;14;0
219;43;0.254;0.257;1000;1114.29;0.0;0.234;0.225;0.291;0.276;0.293;51300;0;0.29;0.254;0.605;0.291;0.227;0.221;1;1;0.24;2;2;0.229;66660;6060;6060.0;54540;0.186;0.273;9;0
210;41;0.227;0.216;500;1222.75;0.0;0.26;0.225;0.368;0.276;0.293;0;-41000;0.27;0.312;0.128;0.318;0.179;0.261;12;3;0.24;2;0;0.255;81070;14740;14740.0;51590;0.277;0.304;14;0
298;49;0.258;0.262;500;862.92;0.0;0.26;0.264;0.237;0.091;0.27;0;-71700;0.27;0.254;0.605;0.318;0.221;0.221;16;3;0.24;0;2;0.255;69480;11580;11580.0;46320;0.225;0.185;8;0
196;41;0.227;0.262;2000;1800.76;0.0;0.26;0.261;0.222;0.091;0.293;0;-78600;0.27;0.312;0.107;0.291;0.294;0.248;0;3;0.24;1;0;0.255;47800;4780;4780.0;38240;0.164;0.24;6;0
266;42;0.254;0.257;500;1093.83;4000000.0;0.26;0.234;0.169;0.29;0.293;0;-49600;0.27;0.254;0.605;0.291;0.179;0.242;18;3;0.24;1;1;0.255;53280;4440;8880.0;39960;0.238;0.3;0;1
192;38;0.254;0.216;1000;1281.43;0.0;0.234;0.224;0.291;0.224;0.258;65100;-50300;0.27;0.312;0.128;0.318;0.294;0.234;10;3;0.24;0;2;0.255;30700;3070;6140.0;21490;0.164;0.119;5;0
290;42;0.254;0.216;500;989.97;0.0;0.26;0.224;0.237;0.093;0.21;32500;0;0.29;0.312;0.107;0.291;0.179;0.248;10;1;0.24;0;1;0.255;48000;4800;9600.0;33600;0.225;0.185;2;0
160;38;0.258;0.262;500;1733.56;0.0;0.26;0.225;0.276;0.195;0.27;0;-43800;0.27;0.254;0.605;0.269;0.294;0.248;13;3;0.24;2;1;0.229;66780;7420;14840.0;44520;0.338;0.4;19;0
436;58;0.258;0.262;2000;1407.01;5000000.0;0.26;0.264;0.282;0.195;0.293;47400;-27600;0.29;0.312;0.605;0.209;0.179;0.224;10;1;0.24;0;2;0.255;59900;11980;5990.0;41930;0.277;0.304;18;1
91;27;0.227;0.257;2000;1073.83;0.0;0.234;0.261;0.302;0.276;0.205;0;0;0.085;0.089;0.066;0.066;0.221;0.289;4;1;0.24;1;2;0.255;7260;1320;660.0;5280;0.277;0.33;7;0
229;43;0.254;0.262;2000;1585.54;0.0;0.26;0.225;0.222;0.266;0.258;42600;-44400;0.085;0.089;0.107;0.066;0.179;0.248;3;1;0.24;1;0;0.229;4620;420;840.0;3360;0.279;0.285;3;0
48;44;0.227;0.257;2000;1400.74;0.0;0.26;0.262;0.276;0.265;0.293;34000;-55600;0.27;0.312;0.605;0.209;0.309;0.289;23;3;0.258;0;2;0.255;87300;17460;17460.0;52380;0.164;0.119;2;0
141;30;0.227;0.262;1000;1851.78;0.0;0.234;0.225;0.297;0.193;0.293;78800;0;0.29;0.276;0.128;0.269;0.294;0.224;13;1;0.24;1;0;0.229;61740;6860;6860.0;48020;0.304;0.27;13;0
180;33;0.254;0.216;2000;1005.47;0.0;0.234;0.261;0.222;0.23;0.21;58100;-49000;0.27;0.312;0.107;0.291;0.227;0.261;12;4;0.24;2;3;0.229;57700;11540;5770.0;40390;0.164;0.24;13;0
93;31;0.227;0.257;2000;1017.18;0.0;0.234;0.264;0.212;0.228;0.205;0;0;0.27;0.312;0.605;0.209;0.309;0.289;21;3;0.258;1;3;0.255;48070;8740;8740.0;30590;0.225;0.285;1;0
136;33;0.258;0.262;1000;855.14;0.0;0.234;0.264;0.297;0.228;0.258;37900;0;0.29;0.254;0.107;0.269;0.309;0.221;23;1;0.258;0;1;0.229;30700;3070;6140.0;21490;0.186;0.15;0;0
57;25;0.227;0.216;2000;1143.06;0.0;0.234;0.224;0.282;0.116;0.21;63100;-54100;0.27;0.276;0.128;0.291;0.227;0.224;0;3;0.24;0;1;0.229;72900;14580;14580.0;43740;0.179;0.29;5;0
243;41;0.254;0.257;1000;1129.23;0.0;0.234;0.262;0.302;0.091;0.21;17300;-60400;0.29;0.276;0.605;0.269;0.179;0.248;1;1;0.24;1;0;0.229;50300;10060;5030.0;35210;0.238;0.156;16;1
43;43;0.227;0.216;500;1320.39;0.0;0.234;0.234;0.246;0.3;0.258;0;0;0.29;0.312;0.605;0.291;0.179;0.289;16;1;0.24;2;1;0.255;79970;7270;21810.0;50890;0.255;0.15;19;1
77;27;0.254;0.216;2000;966.26;0.0;0.234;0.225;0.169;0.265;0.21;56400;-32800;0.27;0.276;0.107;0.291;0.221;0.242;1;3;0.258;0;0;0.255;67200;6720;6720.0;53760;0.279;0.273;20;0
370;55;0.254;0.216;2000;1389.13;7000000.0;0.26;0.261;0.169;0.176;0.27;0;-53200;0.085;0.089;0.107;0.066;0.309;0.221;6;1;0.24;0;2;0.255;9000;900;1800.0;6300;0.338;0.4;0;0
343;48;0.254;0.262;500;1451.54;3000000.0;0.26;0.261;0.169;0.23;0.205;0;0;0.27;0.254;0.128;0.209;0.294;0.224;13;4;0.24;2;3;0.255;65070;7230;14460.0;43380;0.338;0.38;12;0
202;38;0.227;0.257;2000;1132.74;0.0;0.234;0.234;0.246;0.193;0.205;0;-37500;0.29;0.254;0.605;0.318;0.179;0.248;12;1;0.258;1;1;0.255;77440;7040;14080.0;56320;0.179;0.13;10;0
140;31;0.254;0.216;500;708.64;6000000.0;0.26;0.225;0.237;0.266;0.24;53500;0;0.29;0.254;0.128;0.209;0.179;0.234;9;1;0.24;0;2;0.229;77880;14160;7080.0;56640;0.238;0.156;0;0
270;44;0.227;0.216;2000;1030.95;0.0;0.234;0.234;0.237;0.228;0.293;47200;0;0.27;0.312;0.605;0.291;0.309;0.234;20;3;0.24;1;0;0.255;35900;7180;3590.0;25130;0.304;0.27;8;1
258;46;0.254;0.257;1000;1110.37;7993219.794354623;0.26;0.264;0.237;0.23;0.293;34400;-56800;0.27;0.254;0.128;0.318;0.221;0.224;14;3;0.24;0;1;0.255;47700;4770;9540.0;33390;0.19;0.222;18;1
32;29;0.258;0.257;500;1446.98;0.0;0.26;0.264;0.169;0.195;0.21;0;-45700;0.27;0.276;0.107;0.291;0.221;0.289;11;3;0.258;2;0;0.255;57970;10540;5270.0;42160;0.225;0.2;9;0
209;36;0.254;0.257;2000;1223.39;0.0;0.234;0.264;0.297;0.091;0.27;0;0;0.27;0.312;0.128;0.291;0.266;0.248;17;3;0.24;1;3;0.255;65440;8180;8180.0;49080;0.164;0.119;1;0
372;50;0.258;0.216;2000;1368.57;0.0;0.234;0.264;0.282;0.228;0.293;0;0;0.27;0.254;0.605;0.209;0.221;0.234;18;3;0.24;2;2;0.229;51800;5180;10360.0;36260;0.19;0.222;12;0
171;34;0.254;0.262;2000;1277.25;0.0;0.234;0.262;0.368;0.3;0.293;84900;0;0.29;0.312;0.605;0.209;0.221;0.242;14;1;0.24;1;2;0.255;69200;13840;6920.0;48440;0.279;0.273;19;1
46;41;0.258;0.257;2000;998.19;0.0;0.234;0.264;0.169;0.2;0.205;43700;-66300;0.27;0.312;0.128;0.291;0.294;0.248;23;3;0.24;1;3;0.255;78600;13100;19650.0;45850;0.25;0.325;11;1
269;44;0.258;0.257;500;1297.75;4000000.0;0.234;0.261;0.169;0.826;0.21;0;-41400;0.27;0.312;0.128;0.291;0.294;0.261;15;3;0.24;0;1;0.255;98670;15180;15180.0;68310;0.276;0.375;5;1
284;43;0.227;0.262;500;1123.84;0.0;0.26;0.264;0.212;0.093;0.293;48200;0;0.27;0.254;0.128;0.269;0.179;0.261;12;3;0.24;0;0;0.229;36960;6720;3360.0;26880;0.276;0.375;8;0
399;55;0.227;0.216;2000;995.56;0.0;0.26;0.261;0.282;0.195;0.258;0;-65400;0.27;0.254;0.128;0.209;0.221;0.234;23;3;0.258;1;1;0.229;88400;17680;8840.0;61880;0.179;0.129;5;0
66;26;0.227;0.262;1000;988.29;0.0;0.26;0.262;0.246;0.224;0.21;0;0;0.29;0.312;0.605;0.209;0.221;0.234;8;1;0.24;2;2;0.229;57860;0;10520.0;47340;0.238;0.3;7;1
286;43;0.227;0.257;500;1564.43;3000000.0;0.234;0.264;0.212;0.163;0.24;77500;-32800;0.29;0.312;0.107;0.269;0.221;0.221;18;1;0.24;2;2;0.229;34290;3810;3810.0;26670;0.164;0.24;2;0
468;62;0.227;0.257;500;1011.92;0.0;0.26;0.264;0.237;0.228;0.27;0;0;0.27;0.312;0.605;0.269;0.294;0.224;7;3;0.258;0;3;0.255;64350;7150;7150.0;50050;0.276;0.375;6;0
225;39;0.258;0.262;500;1390.72;0.0;0.26;0.224;0.282;0.228;0.293;83900;-52100;0.095;0.089;0.066;0.066;0.294;0.221;6;1;0.258;2;1;0.229;5830;1060;530.0;4240;0.179;0.129;4;0
98;26;0.254;0.216;2000;1082.1;0.0;0.26;0.261;0.368;0.093;0.293;0;-30900;0.27;0.276;0.128;0.209;0.179;0.234;13;2;0.24;0;1;0.229;65430;14540;7270.0;43620;0.164;0.119;14;0
20;23;0.258;0.216;1000;1711.72;0.0;0.234;0.261;0.282;0.265;0.27;0;0;0.27;0.312;0.605;0.269;0.294;0.221;21;3;0.24;2;2;0.255;63250;5750;11500.0;46000;0.276;0.375;13;1
1;33;0.258;0.262;2000;1391.63;0.0;0.26;0.234;0.276;0.2;0.205;61200;0;0.29;0.254;0.128;0.318;0.221;0.261;23;1;0.258;0;3;0.255;69400;6940;6940.0;55520;0.338;0.38;15;0
9;24;0.227;0.257;2000;1304.46;0.0;0.234;0.264;0.237;0.109;0.293;51700;-33300;0.085;0.089;0.066;0.066;0.309;0.289;6;1;0.24;0;3;0.229;5940;540;1080.0;4320;0.304;0.344;14;1
19;29;0.258;0.262;500;1304.35;0.0;0.26;0.261;0.291;0.74;0.258;0;0;0.27;0.276;0.128;0.291;0.221;0.261;6;3;0.24;0;2;0.255;75400;11600;11600.0;52200;0.25;0.162;10;1
187;34;0.254;0.216;500;1232.57;0.0;0.234;0.264;0.237;0.276;0.258;59500;0;0.27;0.254;0.107;0.269;0.221;0.289;7;3;0.24;0;0;0.255;45100;8200;4100.0;32800;0.179;0.129;4;0
87;27;0.258;0.257;500;1048.39;0.0;0.234;0.224;0.291;0.276;0.21;0;0;0.29;0.254;0.107;0.209;0.221;0.224;2;1;0.24;2;1;0.229;34650;6300;3150.0;25200;0.305;0.37;19;0
210;35;0.227;0.257;500;1433.24;0.0;0.234;0.262;0.368;0.3;0.258;0;-19500;0.27;0.254;0.128;0.269;0.179;0.224;11;3;0.24;2;1;0.255;24570;2730;2730.0;19110;0.225;0.185;9;1
292;44;0.258;0.216;500;1097.57;0.0;0.26;0.264;0.169;0.176;0.24;0;0;0.29;0.254;0.128;0.318;0.294;0.261;12;1;0.24;1;0;0.229;61700;6170;6170.0;49360;0.225;0.2;10;0
437;60;0.258;0.216;1000;1269.64;0.0;0.234;0.262;0.246;0.74;0.24;48800;0;0.29;0.276;0.107;0.318;0.294;0.224;10;1;0.24;1;3;0.255;84480;7680;15360.0;61440;0.276;0.409;3;1
32;38;0.227;0.262;2000;566.11;5000000.0;0.26;0.234;0.246;0.276;0.24;0;0;0.095;0.089;0.066;0.209;0.309;0.242;22;1;0.258;0;0;0.255;2640;440;440.0;1760;0.255;0.15;0;0
76;24;0.258;0.262;1000;1622.67;0.0;0.234;0.264;0.169;0.228;0.205;0;0;0.27;0.254;0.128;0.291;0.179;0.224;6;3;0.24;1;1;0.255;74700;14940;7470.0;52290;0.238;0.285;18;0
200;34;0.254;0.262;1000;828.42;3000000.0;0.234;0.262;0.212;0.176;0.293;0;0;0.29;0.276;0.128;0.209;0.221;0.289;10;1;0.24;2;2;0.255;56000;5600;5600.0;44800;0.276;0.1;6;0
315;44;0.227;0.262;1000;974.16;6000000.0;0.234;0.224;0.276;0.266;0.293;0;-56800;0.27;0.276;0.128;0.318;0.221;0.242;12;3;0.24;1;0;0.229;26730;4860;4860.0;17010;0.279;0.285;9;0
147;37;0.254;0.216;2000;1375.29;0.0;0.234;0.224;0.246;0.826;0.21;0;0;0.27;0.254;0.605;0.291;0.294;0.261;11;3;0.24;0;1;0.255;56160;6240;6240.0;43680;0.305;0.285;0;1
41;33;0.258;0.262;500;1294.41;0.0;0.26;0.225;0.291;0.195;0.205;0;0;0.085;0.089;0.107;0.066;0.309;0.289;8;1;0.258;0;0;0.255;8970;1380;1380.0;6210;0.25;0.162;4;0
3;38;0.258;0.216;1000;1310.8;0.0;0.234;0.224;0.297;0.228;0.24;0;0;0.29;0.276;0.107;0.269;0.309;0.221;20;1;0.258;0;1;0.255;87200;17440;8720.0;61040;0.255;0.231;9;0
150;30;0.254;0.257;1000;1677.26;0.0;0.26;0.262;0.276;0.3;0.21;40100;0;0.085;0.089;0.066;0.209;0.179;0.242;7;1;0.258;1;3;0.229;4590;510;510.0;3570;0.279;0.285;2;0
34;24;0.254;0.216;2000;1550.53;0.0;0.234;0.264;0.246;0.116;0.21;0;-27700;0.095;0.089;0.066;0.066;0.227;0.248;20;1;0.258;0;1;0.255;3960;660;660.0;2640;0.304;0.27;17;0
